phase,suite,device,sweep,ir_layout,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,a100,wavefront,angle_inner,144,16,729,2985984,1,1,8,50,3,4.1669921875,10.41748046875,False,108300200.0,69422870.0,69354030.0,70616700.0,1.560007530659565,623.71817,1063.883,486.599,0.5862657547869455,0.45738018184330415,239369649.91736573,140334228.4818913,2.454574711415354,8.0,1.0,40.15384615384615,96.0,15.038461538461538,0.2723055555555555,0.37624074074074076,1213.2692307692307,58.0,140.03846153846155
2,sweep,a100,wavefront,angle_inner,144,16,729,2985984,2,3,24,50,3,6.5048828125,16.26220703125,False,108300200.0,49917310.0,49708620.0,50234200.0,2.169592071367628,1233.17425,1070.337,904.131,1.1521364299281442,0.8447161968613623,121069021.67313337,139488030.405377,3.963121273355299,24.0,1.0,46.25806451612903,97.0,17.612903225806452,0.28303629032258065,0.39111693548387094,1151.1290322580646,58.0,156.64774193548388
2,sweep,a100,wavefront,angle_inner,144,16,729,2985984,3,6,48,50,3,9.9912109375,24.97802734375,False,108300200.0,36320110.0,36249100.0,36328340.0,2.981824669583875,1949.5348299999998,1068.7350000000001,1296.05,1.8241517588550946,1.2126953828591744,76581960.83626781,139697118.55604988,5.529386674896802,48.0,1.0,55.16216216216216,98.0,19.43243243243243,0.2908006756756757,0.39887162162162165,1189.054054054054,60.0,167.3635135135135
2,sweep,a100,wavefront,angle_inner,144,16,729,2985984,4,10,80,50,3,14.5537109375,36.38427734375,False,108300200.0,26587990.0,26530740.0,26664690.0,4.0732751892865915,2930.38267,1071.863,1814.72,2.733915313804096,1.6930521904385167,50948704.25233576,139289442.7739366,6.581696349850114,80.0,1.0,63.77777777777778,99.0,22.177777777777777,0.12938611111111112,0.1868388888888889,1225.0,63.0,181.39711111111112
2,sweep,a100,wavefront,angle_inner,144,16,729,2985984,5,15,120,50,3,20.3154296875,50.78857421875,False,108300200.0,19093500.0,19079090.0,19156940.0,5.67209783434153,4384.34112,1078.103,2543.75,4.066718226366127,2.3594684366892587,34052824.79480064,138483243.2522681,7.043107223587223,120.0,1.0,74.87272727272727,100.0,24.963636363636365,0.30460267857142853,0.41971428571428576,1254.2727272727273,66.0,197.83254545454548
2,sweep,a100,wavefront,angle_inner,144,16,729,2985984,6,21,168,50,3,27.2001953125,68.00048828125,False,108300200.0,14301780.0,14295210.0,14330190.0,7.5724979687843055,6071.49663,1075.074,3356.2,5.64751508268268,3.1218316134517248,24590180.823340096,138873417.08570758,7.473412073177999,168.0,1.0,80.66176470588235,100.0,26.63235294117647,0.30705514705882353,0.42607536764705883,1301.0294117647059,65.0,210.7776470588235
2,sweep,a100,wavefront,angle_inner,144,18,512,2985984,1,1,8,50,3,3.8818359375,9.70458984375,False,122484500.0,76559470.0,74628450.0,76650760.0,1.5998608663304488,650.12994,954.561,525.729,0.6810774167392131,0.5507547448512982,229645169.08727506,156406138.5286011,2.271880759859167,8.0,1.0,40.375,96.0,16.083333333333332,0.267795,0.37046999999999997,1180.625,61.0,145.64416666666668
2,sweep,a100,wavefront,angle_inner,144,18,512,2985984,2,3,24,50,3,5.9521484375,14.88037109375,False,122484500.0,53584390.0,53571450.0,53869130.0,2.2858242857668065,1232.94251,963.082,927.177,1.2802051227205993,0.9627186470103273,121091777.42602126,155022313.78013504,3.864613552752063,24.0,1.0,45.0,98.0,16.833333333333332,0.28248333333333336,0.3874666666666667,1249.0,61.0,155.79733333333334
2,sweep,a100,wavefront,angle_inner,144,18,512,2985984,3,6,48,50,3,9.0791015625,22.69775390625,False,122484500.0,39219910.0,38948490.0,39369620.0,3.123018385304811,1955.2709200000002,958.507,1342.92,2.0399130314123948,1.4010539307485497,76357295.79612425,155762242.73792472,5.336402466267536,48.0,1.0,53.857142857142854,98.0,18.742857142857144,0.29151428571428567,0.3993535714285714,1192.2857142857142,61.0,164.69371428571426
2,sweep,a100,wavefront,angle_inner,144,18,512,2985984,4,10,80,50,3,13.3466796875,33.36669921875,False,122484500.0,28446670.0,28306840.0,28505790.0,4.305758811136769,3011.75084,954.2080000000001,1886.67,3.156283367986854,1.9772104195311713,49572228.22589135,156463999.46342936,6.33069694223155,80.0,1.0,63.604651162790695,100.0,21.41860465116279,0.2969767441860465,0.40881395348837213,1261.3953488372092,62.0,183.31976744186048
