phase,suite,device,sweep,ir_layout,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,a100,wavefront,normal,144,16,729,2985984,1,1,8,50,3,3.8193359375,9.54833984375,False,109365400.0,76626250.0,74227870.0,77292290.0,1.4272576303812337,464.51699,1063.176,394.398,0.4369144807632979,0.37096209846723405,321407404.28030413,140427549.15460846,3.028396695723609,8.0,1.0,37.42307692307692,95.0,12.692307692307692,0.29996759259259265,0.44025462962962963,1075.3846153846155,45.0,117.41038461538461
2,sweep,a100,wavefront,normal,144,16,729,2985984,2,3,24,50,3,5.4619140625,13.65478515625,False,109365400.0,56591220.0,56571350.0,56772130.0,1.9325506677537612,876.39735,1065.219,772.288,0.8227391268837675,0.7250039663205406,170355604.11039582,140158220.9855438,4.639695036048728,24.0,1.0,38.15625,97.0,15.03125,0.2936401515151515,0.4329734848484848,1084.21875,50.0,126.1965625
2,sweep,a100,wavefront,normal,144,16,729,2985984,3,6,48,50,3,7.9052734375,19.76318359375,False,109365400.0,40272870.0,39932660.0,40513380.0,2.7156097889224187,1557.84079,1073.021,1390.76,1.4518269353535485,1.2961162922254086,95837264.6026299,139139122.16070327,5.152838448042797,48.0,1.0,52.97142857142857,98.0,22.97142857142857,0.32788541666666665,0.5060590277777778,1184.142857142857,53.0,155.88542857142858
2,sweep,a100,wavefront,normal,144,16,729,2985984,4,10,80,50,3,11.0771484375,27.69287109375,False,109365400.0,29024470.0,29007790.0,29105220.0,3.7680412424412917,2450.44311,1085.012,2203.29,2.258447934216396,2.030659568742097,60927429.570074774,137601427.44965035,5.420955026346963,80.0,1.0,63.54761904761905,98.0,27.30952380952381,0.34332440476190473,0.5326547619047619,1258.9285714285713,57.0,179.4904761904762
2,sweep,a100,wavefront,normal,144,16,729,2985984,5,15,120,50,3,15.1005859375,37.75146484375,False,109365400.0,21258010.0,21237570.0,21270190.0,5.144667821682274,3603.50346,1097.753,3255.31,3.282617729124858,2.965430292606807,41431679.38015523,136004365.28071433,5.503593820557796,120.0,1.0,71.14,99.0,31.48,0.33140686274509806,0.5007083333333333,1274.7,61.0,189.9244
2,sweep,a100,wavefront,normal,144,16,729,2985984,6,21,168,50,3,19.8994140625,49.74853515625,False,109365400.0,16027710.0,16011950.0,16086230.0,6.823520016271819,4993.092769999999,1100.146,4523.32,4.538572853057684,4.1115633743157725,29901146.819669448,135708533.23104388,5.5451008551241125,168.0,1.0,75.71875,100.0,33.625,0.34646923076923075,0.536773076923077,1265.859375,65.0,201.4684375
2,sweep,a100,wavefront,normal,144,18,512,2985984,1,1,8,50,3,3.5556640625,8.88916015625,False,122561900.0,82620870.0,81409830.0,83417830.0,1.4834254347600067,505.73728000000006,950.234,441.994,0.5322239364198713,0.4651422702197564,295210983.8531183,157118351.90068972,2.7022846463979144,8.0,1.0,34.51851851851852,96.0,12.555555555555555,0.2855925925925926,0.40565277777777775,1016.6666666666666,60.0,127.33333333333333
2,sweep,a100,wavefront,normal,144,18,512,2985984,2,3,24,50,3,4.9755859375,12.43896484375,False,122561900.0,60852600.0,60015000.0,61119540.0,2.014078280960879,891.7510900000001,960.471,792.378,0.9284518637210286,0.8249889897768907,167422503.51496625,155443735.4173109,4.522059925944435,24.0,1.0,42.107142857142854,97.0,16.821428571428573,0.30342672413793104,0.4494956896551724,1164.107142857143,60.0,147.40607142857144
2,sweep,a100,wavefront,normal,144,18,512,2985984,3,6,48,50,3,7.1279296875,17.81982421875,False,122561900.0,42902030.0,42862990.0,43365030.0,2.856785564692393,1604.75237,976.971,1444.06,1.6425793293762045,1.47809914521516,93035662.56767704,152818456.2284858,4.962648089414568,48.0,1.0,50.57575757575758,98.0,21.454545454545453,0.30552573529411764,0.4537389705882353,1150.909090909091,61.0,162.47484848484848
2,sweep,a100,wavefront,normal,144,18,512,2985984,4,10,80,50,3,10.0966796875,25.24169921875,False,122561900.0,31030120.0,30952390.0,31189340.0,3.949772027952196,2518.0986599999997,984.1279999999999,2277.99,2.5587105132665666,2.3147293847954735,59290448.92943155,151707095.01203096,5.2431907075974875,80.0,1.0,59.857142857142854,99.0,26.928571428571427,0.31836607142857143,0.4725059523809524,1219.2857142857142,62.0,171.02642857142857
2,sweep,a100,wavefront,normal,144,18,512,2985984,5,15,120,50,3,13.6494140625,34.12353515625,False,122561900.0,22468040.0,22462950.0,22565370.0,5.454944000455758,3700.7025099999996,989.362,3361.22,3.740493883937325,3.3973611276762194,40343475.217628345,150904522.30831587,5.330178923129102,120.0,1.0,67.04,99.0,30.74,0.33404656862745097,0.5131617647058824,1233.0,65.0,189.40740000000002
2,sweep,a100,wavefront,normal,144,18,512,2985984,6,21,168,50,3,17.9814453125,44.95361328125,False,122561900.0,17032430.0,17024980.0,17093100.0,7.195796489402863,5049.09158,991.39,4588.26,5.092941808975278,4.628108009965806,29569517.136783637,150595830.09713635,5.466618195132796,168.0,1.0,72.66129032258064,100.0,33.483870967741936,0.33177182539682537,0.506625,1243.5483870967741,65.0,198.14870967741933
2,sweep,a100,wavefront,normal,144,24,216,2985984,1,1,8,50,3,3.0009765625,7.50244140625,False,160830500.0,96610020.0,96567700.0,97829700.0,1.664739330351034,536.09187,723.561,473.651,0.7409076359836972,0.654611014137025,278495549.6527116,206339479.32517093,2.521674397393862,8.0,1.0,30.0,96.0,12.625,0.28556000000000004,0.40841,1061.875,61.0,133.47166666666666
2,sweep,a100,wavefront,normal,144,24,216,2985984,2,3,24,50,3,4.1416015625,10.35400390625,False,160830500.0,71512870.0,71399310.0,72635540.0,2.248972807272313,933.3922,721.733,837.846,1.2932652379758167,1.1608808243491708,159953340.0857646,206862094.43104306,4.276658001589792,24.0,1.0,37.592592592592595,97.0,16.962962962962962,0.2859464285714286,0.41492410714285716,1088.888888888889,61.0,144.0951851851852
2,sweep,a100,wavefront,normal,144,24,216,2985984,3,6,48,50,3,5.8681640625,14.67041015625,False,160830500.0,49846890.0,49614940.0,50083870.0,3.2264901581623247,1646.04221,751.388,1491.7,2.190668749035119,1.9852592801588527,90701926.77501264,198697876.4632919,4.8041574043038135,48.0,1.0,45.484848484848484,98.0,21.606060606060606,0.29791911764705886,0.4415330882352941,1102.2727272727273,61.0,145.39939393939395
2,sweep,a100,wavefront,normal,144,24,216,2985984,4,10,80,50,3,8.1826171875,20.45654296875,False,160830500.0,35235430.0,34970480.0,35280880.0,4.564454016880169,2572.5768000000003,752.736,2339.78,3.4176348680015307,3.108367342600859,58034885.48913291,198342048.20813674,5.104726085358452,80.0,1.0,52.30952380952381,99.0,26.095238095238095,0.30383720930232555,0.45776453488372093,1070.357142857143,62.0,162.2188095238095
2,sweep,a100,wavefront,normal,144,24,216,2985984,5,15,120,50,3,11.0595703125,27.64892578125,False,160830500.0,25526360.0,25449250.0,25600210.0,6.300565376340379,3762.8599200000003,753.178,3433.4,4.995976940377973,4.558550568391536,39677054.9991667,198225651.83794534,5.218123143239937,120.0,1.0,64.51063829787235,99.0,32.297872340425535,0.31909895833333335,0.4879114583333333,1194.8936170212767,62.0,184.68106382978723
2,sweep,a100,wavefront,normal,144,24,216,2985984,6,21,168,50,3,14.4931640625,36.23291015625,False,160830500.0,19209970.0,19180020.0,19257750.0,8.372241081063635,5241.35025,762.349,4794.5,6.875263494803561,6.289114303291536,28484873.721232425,195841012.44967854,5.231466388570237,168.0,1.0,73.71428571428571,100.0,35.42857142857143,0.3272075892857143,0.5046830357142856,1232.9464285714287,66.0,197.06625
2,sweep,a100,wavefront,normal,144,36,64,2985984,1,1,8,50,3,2.5810546875,6.45263671875,False,207340200.0,111980300.0,109610800.0,112224200.0,1.8515774649648198,606.6536500000001,545.7860000000001,549.787,1.1115229229038488,1.0073307120373187,246102862.81142458,273548973.4071595,2.1724660641302904,8.0,1.0,26.17391304347826,95.0,12.130434782608695,0.31059895833333334,0.4893385416666667,1053.9130434782608,56.0,118.48173913043478
2,sweep,a100,wavefront,normal,144,36,64,2985984,2,3,24,50,3,3.4482421875,8.62060546875,False,207340200.0,81510710.0,81244170.0,81924870.0,2.5437172612040797,1036.4064,543.769,944.789,1.9059681592735152,1.7374822764813735,144054687.42763454,274563647.43117017,3.792572521483633,24.0,1.0,32.92,96.0,16.52,0.31808,0.500745,1138.2,57.0,138.1824
2,sweep,a100,wavefront,normal,144,36,64,2985984,3,6,48,50,3,4.7607421875,11.90185546875,False,207340200.0,54863540.0,54643470.0,55290380.0,3.779198352858747,1729.2211300000001,538.472,1580.2,3.2113482780905973,2.934600127768946,86338986.61647743,277264556.002912,4.535097835716998,48.0,1.0,41.70967741935484,98.0,21.29032258064516,0.30044758064516125,0.4441975806451613,1077.5806451612902,56.0,144.32612903225805
2,sweep,a100,wavefront,normal,144,36,64,2985984,4,10,80,50,3,6.4951171875,16.23779296875,False,207340200.0,38060900.0,37797930.0,38317940.0,5.447590571951793,2712.95361,548.698,2488.75,4.9443475463734154,4.535737327272926,55031976.753926136,272097219.2353535,4.7991706680060275,80.0,1.0,52.23684210526316,98.0,26.0,0.2877179487179487,0.4159775641025641,1155.7894736842106,57.0,159.87657894736844
2,sweep,a100,wavefront,normal,144,36,64,2985984,5,15,120,50,3,8.6904296875,21.72607421875,False,207340200.0,27467520.0,27432220.0,27528840.0,7.548559170977212,3953.02464,553.761,3632.96,7.1385031448585226,6.560519791028982,37768345.405507006,269609452.4533147,4.931489474147802,120.0,1.0,61.62222222222222,100.0,30.866666666666667,0.30131521739130435,0.4662934782608696,1194.0,60.0,175.12222222222223
2,sweep,a100,wavefront,normal,144,36,64,2985984,6,21,168,50,3,11.2783203125,28.19580078125,False,207340200.0,20630930.0,20544280.0,20634350.0,10.049968663555157,5418.57003,552.704,4986.63,9.803746725191061,9.022243370773507,27553247.2909647,270125057.89717466,5.029903080838161,168.0,1.0,67.05454545454545,99.0,34.78181818181818,0.3153660714285714,0.4905089285714285,1173.5454545454545,60.0,187.87145454545455
2,sweep,a100,wavefront,normal,144,48,27,2985984,1,1,8,50,3,2.3486328125,5.87158203125,False,268244300.0,116462600.0,116245300.0,120061500.0,2.3032655977111967,684.96865,403.9871,632.432,1.6955210946092092,1.5654757292992771,217965011.97536558,369564275.6909812,1.8885723682546107,8.0,1.0,25.782608695652176,93.0,13.08695652173913,0.29567934782608696,0.47314673913043476,1023.2608695652174,56.0,116.58000000000001
2,sweep,a100,wavefront,normal,144,48,27,2985984,2,3,24,50,3,3.1123046875,7.78076171875,False,268244300.0,84613260.0,83944860.0,85475300.0,3.1702395109229924,1142.90766,402.8905,1054.97,2.836769941212315,2.61850304238993,130631025.78208286,370570167.3283436,3.3964764874830564,24.0,1.0,35.0,95.0,18.0,0.31251999999999996,0.49310000000000004,1101.875,55.0,134.20291666666665
2,sweep,a100,wavefront,normal,144,48,27,2985984,3,6,48,50,3,4.2041015625,10.51025390625,False,268244300.0,57092730.0,56903730.0,57199110.0,4.698396801133875,1868.29586,405.7677,1724.52,4.6043483993427765,4.25001792897759,79911968.54656628,367942544.4657128,4.155568853941967,48.0,1.0,41.36666666666667,97.0,21.7,0.2977661290322581,0.45053225806451613,1078.0,57.0,143.28133333333335
2,sweep,a100,wavefront,normal,144,48,27,2985984,4,10,80,50,3,5.7021484375,14.25537109375,False,268244300.0,39201940.0,39194830.0,39590880.0,6.842628196461706,2906.6157,412.6714,2686.12,7.043414445488589,6.509101430339006,51365304.329705514,361787126.51276535,4.446538501630605,80.0,1.0,54.142857142857146,98.0,27.571428571428573,0.3164821428571428,0.5164678571428571,1193.142857142857,59.0,164.226
2,sweep,a100,wavefront,normal,144,48,27,2985984,5,15,120,50,3,7.5791015625,18.94775390625,False,268244300.0,28305370.0,28254210.0,28346020.0,9.476798925433584,4112.15306,408.52750000000003,3801.13,10.065792535386233,9.304465427663988,36306819.7660911,365456915.38513315,4.713309989397889,120.0,1.0,61.22222222222222,99.0,30.022222222222222,0.3108478260869565,0.48174999999999996,1136.3333333333333,60.0,180.70066666666665
2,sweep,a100,wavefront,normal,144,48,27,2985984,6,21,168,50,3,9.7880859375,24.47021484375,False,268244300.0,21087850.0,21048030.0,21174240.0,12.720324736756,5644.29364,411.179,5223.33,13.727096082241555,12.703299536211723,26451352.37861225,363100255.60643905,4.801968399469304,168.0,1.0,69.52941176470588,99.0,35.470588235294116,0.32081009615384615,0.5011466346153847,1205.2941176470588,62.0,198.20098039215685
2,sweep,a100,wavefront,normal,144,72,8,2985984,1,1,8,50,3,2.1513671875,5.37841796875,False,303489000.0,119568200.0,116774500.0,120299900.0,2.5382083196033727,912.2182700000001,350.4489,860.528,2.602999381650221,2.455502071771377,163666092.76527643,426022738.26512223,1.38797761374412,8.0,1.0,24.666666666666668,91.0,12.476190476190476,0.29696022727272725,0.4788693181818182,1111.4285714285713,54.0,119.9
2,sweep,a100,wavefront,normal,144,72,8,2985984,2,3,24,50,3,2.7705078125,6.92626953125,False,303489000.0,83447880.0,82061200.0,84791890.0,3.636868905477287,1253.02391,330.6662,1169.29,3.789392172529275,3.536164264747954,119151118.19374622,451510314.6314924,3.0644072898938677,24.0,1.0,32.28,94.0,16.04,0.3017884615384615,0.48834134615384617,1086.6,56.0,132.372
2,sweep,a100,wavefront,normal,144,72,8,2985984,3,6,48,50,3,3.7138671875,9.28466796875,False,303489000.0,56232640.0,55681540.0,56775390.0,5.397025642047039,2020.88465,334.8127,1880.04,6.035866172340535,5.615199184499273,73878140.44705619,445918568.7998095,3.811813365673071,48.0,1.0,43.86206896551724,96.0,22.20689655172414,0.2800875,0.39751250000000005,1129.655172413793,57.0,150.12862068965515
2,sweep,a100,wavefront,normal,144,72,8,2985984,4,10,80,50,3,4.9775390625,12.44384765625,False,303489000.0,40039300.0,39600950.0,40081850.0,7.57977786824445,3011.10362,337.6112,2792.58,8.918849907822963,8.271585776775177,49582883.501033425,442222295.9427886,4.277025546269042,80.0,1.0,56.60606060606061,97.0,27.87878787878788,0.2880625,0.41426838235294117,1212.2727272727273,59.0,177.0748484848485
2,sweep,a100,wavefront,normal,144,72,8,2985984,5,15,120,50,3,6.5361328125,16.34033203125,False,303489000.0,28640340.0,28585740.0,28837750.0,10.596557163776687,4310.20195,344.2993,3998.95,12.518764778203149,11.614749144131283,34638562.585217156,433632017.25940186,4.480152039910477,120.0,1.0,60.073170731707314,98.0,31.317073170731707,0.29883536585365855,0.44119512195121946,1171.8292682926829,62.0,184.00780487804877
2,sweep,a100,wavefront,normal,144,72,8,2985984,6,21,168,50,3,8.3994140625,20.99853515625,False,303489000.0,21421290.0,21365770.0,21432050.0,14.167634162088278,5950.83595,348.1909,5525.07,17.090727959863397,15.867933366437779,25088777.653163165,428785473.71571165,4.53971906238292,168.0,1.0,68.28,99.0,35.1,0.3003651960784314,0.45248774509803924,1188.6,64.0,198.27939999999998
2,sweep,a100,wavefront,normal,144,144,1,2985984,1,1,8,50,3,1.9775390625,4.94384765625,False,253446400.0,85900100.0,84353290.0,86232660.0,2.950478520979603,1244.52969,419.053,1196.95,2.969862260859605,2.8563212767836053,119964353.76322761,356277606.88982064,0.9978642382722754,8.0,1.0,31.333333333333332,87.0,11.541666666666666,0.27764500000000003,0.44795999999999997,1140.0,56.0,113.46083333333333
2,sweep,a100,wavefront,normal,144,144,1,2985984,2,3,24,50,3,2.4736328125,6.18408203125,False,253446400.0,63908750.0,63642720.0,64676520.0,3.965754298120367,1805.94095,410.8546,1722.96,4.395571937128122,4.19360036372965,82671141.6007262,363386950.0304974,2.079665691600501,24.0,1.0,31.34375,91.0,12.71875,0.2746780303030303,0.40170833333333333,1012.03125,56.0,121.738125
