phase,suite,device,sweep,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,a100,diagonal,176,16,1331,5451776,1,1,8,50,3,6.4541015625,16.13525390625,False,114228100.0,87736310.0,87352780.0,87808420.0,1.3019478480460371,426.33811,1882.6879999999999,305.349,0.22645181251487234,0.16218778682394536,639372351.6764663,144787027.9090322,7.141698187975072,8.0,1.0,48.34375,97.0,11.65625,,,1200.0,44.0,138.7146875
2,sweep,a100,diagonal,176,16,1331,5451776,2,3,24,50,3,9.3876953125,23.46923828125,False,114228100.0,64179580.0,64113840.0,64376820.0,1.7798199988220553,1071.13145,1908.637,885.149,0.5612022872866869,0.4637597405897507,254486785.91222394,142818566.33817747,7.390994284578078,24.0,1.0,60.32432432432432,98.0,14.216216216216216,,,1257.972972972973,49.0,161.25
2,sweep,a100,diagonal,176,16,1331,5451776,3,6,48,50,3,13.8017578125,34.50439453125,False,114228100.0,45730540.0,45458170.0,45791130.0,2.497851545159974,2082.99841,1957.286,1787.18,1.064227920702442,0.9130908819661511,130863662.06107666,139268762.97076666,7.321177721326335,48.0,1.0,64.19565217391305,99.0,16.02173913043478,,,1237.1739130434783,54.0,171.88934782608695
2,sweep,a100,diagonal,176,16,1331,5451776,4,10,80,50,3,19.7001953125,49.25048828125,False,114228100.0,32872730.0,32788280.0,32927430.0,3.474858948435375,3479.8443899999997,1952.801,3033.35,1.7819759361040883,1.5533328792846788,78333617.67076027,139588621.6772728,7.1891156641996465,80.0,1.0,78.15517241379311,100.0,17.844827586206897,,,1294.9137931034484,59.0,192.08999999999997
2,sweep,a100,diagonal,176,16,1331,5451776,5,15,120,50,3,26.9931640625,67.48291015625,False,114228100.0,24016400.0,23973510.0,24066600.0,4.756254059725854,5261.551769999999,1945.164,4633.73,2.7049399279443787,2.3821796002804905,51807681.82387381,140136667.13963452,7.059249459938322,120.0,1.0,83.82191780821918,100.0,19.17808219178082,,,1305.4109589041095,59.0,204.01095890410957
2,sweep,a100,diagonal,176,16,1331,5451776,6,21,168,50,3,35.8447265625,89.61181640625,False,114228100.0,18013670.0,17991040.0,18028330.0,6.341189774210363,7418.823799999999,1929.5349999999999,6572.65,3.844876511698414,3.4063388329312505,36742859.42739333,141271757.18502128,6.967496884818148,168.0,1.0,87.3695652173913,100.0,20.282608695652176,,,1319.5108695652175,63.0,218.70989130434785
2,sweep,a100,diagonal_compact,176,16,1331,5451776,1,1,8,50,3,6.4541015625,16.13525390625,False,114228100.0,88094270.0,87767730.0,88373100.0,1.2966575465123895,395.60101,1868.011,274.441,0.21177659553396633,0.146916158416626,689049808.0376489,145924622.49954632,7.946008067307728,8.0,1.0,49.96774193548387,97.0,12.35483870967742,,,1210.1612903225807,59.0,148.08322580645162
2,sweep,a100,diagonal_compact,176,16,1331,5451776,2,3,24,50,3,9.3876953125,23.46923828125,False,114228100.0,65633320.0,65624740.0,65692850.0,1.7403980173485054,991.55834,1910.875,805.557,0.5189027749067836,0.4215644665401976,274909492.466172,142651298.48891214,8.121251754996853,24.0,1.0,58.45945945945946,98.0,14.243243243243244,,,1229.1891891891892,60.0,163.1608108108108
2,sweep,a100,diagonal_compact,176,16,1331,5451776,3,6,48,50,3,13.8017578125,34.50439453125,False,114228100.0,47100300.0,47093050.0,47373030.0,2.425209605883614,1902.4037700000001,1938.769,1607.15,0.9812431341743137,0.8289538361713026,143286511.6746483,140598905.80053633,8.141282643188253,48.0,1.0,67.6,99.0,16.57777777777778,,,1278.6666666666667,61.0,180.54822222222222
2,sweep,a100,diagonal_compact,176,16,1331,5451776,4,10,80,50,3,19.7001953125,49.25048828125,False,114228100.0,34126440.0,34106620.0,34170940.0,3.347202345161113,3201.0841499999997,1949.856,2754.18,1.6417028488257592,1.4125043080104376,85155149.70139101,139799451.85695764,7.917820912213436,80.0,1.0,73.80357142857143,99.0,18.482142857142858,,,1272.3214285714287,63.0,192.30464285714285
2,sweep,a100,diagonal_compact,176,16,1331,5451776,5,15,120,50,3,26.9931640625,67.48291015625,False,114228100.0,24996190.0,24959160.0,25048530.0,4.569820440635152,4848.11132,1932.134,4221.29,2.5092003556689133,2.1847811797732457,56225771.647504166,141081726.21567655,7.748971522923088,120.0,1.0,81.38028169014085,100.0,19.6056338028169,,,1295.9154929577464,63.0,202.8125352112676
2,sweep,a100,diagonal_compact,176,16,1331,5451776,6,21,168,50,3,35.8447265625,89.61181640625,False,114228100.0,18863600.0,18863240.0,18911200.0,6.055477215377764,6752.18227,1921.4470000000001,5907.26,3.5141132021856443,3.0743809222945,40370474.18152709,141866416.29979905,7.752311291529407,168.0,1.0,87.77272727272727,100.0,21.170454545454547,,,1333.6363636363637,64.0,214.14295454545456
2,sweep,a100,wavefront,176,16,1331,5451776,1,1,8,50,3,6.4541015625,16.13525390625,False,114228100.0,77701130.0,77525670.0,78139340.0,1.4700957373464196,798.17891,1882.702,677.891,0.4239539289807946,0.36006282459996325,341513408.3159376,144785951.25516412,3.2169041925619317,8.0,1.0,48.55882352941177,97.0,17.735294117647058,,,1157.6470588235295,59.0,146.28470588235294
2,sweep,a100,wavefront,176,16,1331,5451776,2,3,24,50,3,9.3876953125,23.46923828125,False,114228100.0,57517230.0,57230340.0,57548230.0,1.9859805487851205,1555.14035,1933.593,1369.28,0.8042749172137051,0.7081531635664796,175282443.15697938,140975272.45909557,4.777789203084833,24.0,1.0,60.3,98.0,23.825,,,1247.625,59.0,169.8995
