phase,suite,device,sweep,ir_layout,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,a100,diagonal_compact,normal,176,16,1331,5451776,1,1,8,50,3,6.4541015625,16.13525390625,False,113525900.0,87867310.0,87255190.0,88232760.0,1.2920151988265032,422.44479,1866.603,301.432,0.22631742796941823,0.16148693642943893,645264911.4219162,146034695.11192256,7.234501977228694,8.0,1.0,46.875,97.0,11.5,0.28304296875,0.39358984375,1154.53125,45.0,137.0565625
2,sweep,a100,diagonal_compact,normal,176,16,1331,5451776,2,3,24,50,3,9.3876953125,23.46923828125,False,113525900.0,64514120.0,64406580.0,64618530.0,1.7597062472525395,1072.91193,1886.074,886.619,0.5688599333854345,0.4700870697544211,254064469.20578092,144527097.02800632,7.3787401352779485,24.0,1.0,57.37837837837838,98.0,14.18918918918919,0.2780065789473684,0.39621052631578946,1212.972972972973,51.0,156.82135135135135
2,sweep,a100,diagonal_compact,normal,176,16,1331,5451776,3,6,48,50,3,13.8017578125,34.50439453125,False,113525900.0,46246810.0,46170220.0,46410560.0,2.454783367760933,2073.74267,1914.981,1777.75,1.0829050888755554,0.9283381923893762,131447746.11789224,142345433.19228753,7.360012600196878,48.0,1.0,64.4375,99.0,15.458333333333334,0.30059183673469386,0.44595153061224485,1214.6875,53.0,169.46916666666667
2,sweep,a100,diagonal_compact,normal,176,16,1331,5451776,4,10,80,50,3,19.7001953125,49.25048828125,False,113525900.0,33352470.0,33341750.0,33419940.0,3.4038228652930353,3440.21199,1902.129,2994.27,1.8086112929249278,1.5741676826335123,79236047.3111426,143307209.97366634,7.282945091791991,80.0,1.0,68.57377049180327,100.0,16.442622950819672,0.3070060483870968,0.4614435483870968,1258.7704918032787,58.0,183.1760655737705
2,sweep,a100,diagonal_compact,normal,176,16,1331,5451776,5,15,120,50,3,26.9931640625,67.48291015625,False,113525900.0,24468820.0,24438690.0,24473990.0,4.639614824090414,5104.62009,1911.44,4478.75,2.670562554932407,2.3431287406353323,53400408.88331809,142609132.38186917,7.303523527770025,120.0,1.0,82.87323943661971,100.0,19.690140845070424,0.3312586805555556,0.507765625,1342.8169014084508,63.0,210.006338028169
2,sweep,a100,diagonal_compact,normal,176,16,1331,5451776,6,21,168,50,3,35.8447265625,89.61181640625,False,113525900.0,18515910.0,18494890.0,18556490.0,6.1312622496004785,7042.17141,1902.699,6199.09,3.701148426524637,3.258050800468177,38708060.92747464,143264278.79554254,7.387361435307441,168.0,1.0,86.32222222222222,100.0,20.38888888888889,0.3420494505494506,0.5263282967032966,1340.3333333333333,66.0,213.93311111111112
2,sweep,a100,diagonal_compact,normal,176,22,512,5451776,1,1,8,50,3,5.3447265625,13.36181640625,False,156299600.0,115488300.0,114141600.0,116730500.0,1.3533803857187265,437.78004,1403.264,336.589,0.311972686536532,0.2398614943446137,622661553.9621222,194253397.79257506,6.478852250073532,8.0,1.0,40.0,98.0,12.064516129032258,0.28576953125,0.410625,1110.483870967742,60.0,130.82806451612905
2,sweep,a100,diagonal_compact,normal,176,22,512,5451776,2,3,24,50,3,7.5888671875,18.97216796875,False,156299600.0,84745130.0,84635130.0,84753660.0,1.8443490499100066,1016.77025,1421.555,850.408,0.7152521358653025,0.5982237760761983,268092816.44501302,191753959.57244003,7.692932333656315,24.0,1.0,47.666666666666664,99.0,12.93939393939394,0.30184848484848487,0.4483787878787879,1162.2727272727273,60.0,152.0121212121212
2,sweep,a100,diagonal_compact,normal,176,22,512,5451776,3,6,48,50,3,10.9716796875,27.42919921875,False,156299600.0,59505560.0,59425180.0,59703680.0,2.626638586377475,1928.83861,1438.757,1654.46,1.3406284800004449,1.149923162841258,141322762.0946472,189461319.73641136,7.908479141230371,48.0,1.0,60.60526315789474,99.0,15.973684210526315,0.3056346153846154,0.4583237179487179,1248.5526315789473,61.0,168.34157894736842
2,sweep,a100,diagonal_compact,normal,176,22,512,5451776,4,10,80,50,3,15.3974609375,38.49365234375,False,156299600.0,42327570.0,42306540.0,42361560.0,3.692619255015112,3212.83672,1460.8980000000001,2793.68,2.1992204246976854,1.9123032545735565,84843651.81184807,186589891.9705551,7.805870393173163,80.0,1.0,63.64705882352941,99.0,17.058823529411764,0.31272058823529414,0.46709803921568627,1200.0,62.0,178.44372549019607
2,sweep,a100,diagonal_compact,normal,176,22,512,5451776,5,15,120,50,3,20.9638671875,52.40966796875,False,156299600.0,30808220.0,30737230.0,30898320.0,5.073308357315028,4790.083460000001,1447.987,4193.02,3.3080983876236463,2.8957580420266207,56906899.90608221,188253623.82397076,7.801216307100847,120.0,1.0,78.98305084745763,100.0,19.64406779661017,0.33005416666666665,0.5074458333333333,1304.2372881355932,65.0,198.45966101694916
2,sweep,a100,diagonal_compact,normal,176,22,512,5451776,6,21,168,50,3,27.6474609375,69.11865234375,False,156299600.0,23097830.0,23084000.0,23122400.0,6.766852124203876,6777.014999999999,1439.978,5966.48,4.706332318965983,4.143452191630705,40222546.357061334,189300669.87134525,7.675366112012443,168.0,1.0,83.77333333333333,100.0,21.066666666666666,0.32146875,0.488671052631579,1309.6,65.0,206.97413333333333
2,sweep,a100,diagonal_compact,normal,176,44,64,5451776,1,1,8,50,3,3.9873046875,9.96826171875,False,274615000.0,132610200.0,131031000.0,132702000.0,2.070843720920412,989.29813,780.968,893.192,1.266758855676545,1.1436985894428453,275537567.2245534,349039653.3532744,2.441479995342547,8.0,1.0,37.172413793103445,99.0,19.413793103448278,0.28783333333333333,0.41638749999999997,1085.6896551724137,60.0,131.97896551724136
2,sweep,a100,diagonal_compact,normal,176,44,64,5451776,2,3,24,50,3,5.4423828125,13.60595703125,False,274615000.0,82620740.0,82519480.0,82887280.0,3.3238022317398754,2076.8326199999997,779.737,1920.11,2.6635040019904146,2.4625097949693293,131252175.72901952,349590695.32419264,3.4071647978501236,24.0,1.0,41.4054054054054,99.0,24.135135135135137,0.29396474358974356,0.4308942307692307,1072.2972972972973,60.0,139.94486486486485
2,sweep,a100,diagonal_compact,normal,176,44,64,5451776,3,6,48,50,3,7.5732421875,18.93310546875,False,274615000.0,59228950.0,59084660.0,59267620.0,4.636499549629025,3131.59273,786.418,2869.99,3.9820969637012373,3.6494459689376386,87044779.92577279,346620753.8484622,4.558992330983732,48.0,1.0,55.30232558139535,100.0,31.325581395348838,0.30532386363636366,0.4572528409090909,1144.5348837209303,60.0,163.33069767441862
2,sweep,a100,diagonal_compact,normal,176,44,64,5451776,4,10,80,50,3,10.3837890625,25.95947265625,False,274615000.0,41743750.0,41721390.0,41747100.0,6.578589609222938,4732.07906,793.4970000000001,4330.14,5.963575237209466,5.45703386402217,57604447.54699428,343528456.94438666,5.036119848318991,80.0,1.0,65.32,100.0,35.0,0.3164730392156863,0.48073284313725495,1200.3,60.0,183.50220000000002
2,sweep,a100,diagonal_compact,normal,176,44,64,5451776,5,15,120,50,3,13.9482421875,34.87060546875,False,274615000.0,30137500.0,30128990.0,30209180.0,9.112069680630444,6791.33949,785.5360000000001,6199.26,8.645484726352452,7.891757984357177,40137707.79702253,347009939.709956,5.276542038888512,120.0,1.0,73.26229508196721,100.0,38.67213114754098,0.32389516129032253,0.5008245967741936,1252.622950819672,61.0,197.93819672131147
