phase,suite,device,sweep,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,a100,wavefront,176,16,1331,5451776,1,1,8,50,3,6.4541015625,16.13525390625,False,113673700.0,77885450.0,77719510.0,78174460.0,1.459498532781155,798.58543,1881.056,677.286,0.4245410184492115,0.36005626626745824,341339560.8782895,144912644.81227565,3.2197777600600044,8.0,1.0,45.666666666666664,96.0,16.36111111111111,0.34685135135135137,0.6242364864864864,1101.6666666666667,48.0,144.4372222222222
2,sweep,a100,wavefront,176,16,1331,5451776,2,3,24,50,3,9.3876953125,23.46923828125,False,113673700.0,57623170.0,57587610.0,57631030.0,1.9727082005380823,1577.6080900000002,1940.309,1391.92,0.813070541856993,0.7173702745284386,172786132.2009321,140487314.13398588,4.700077015920455,24.0,1.0,59.825,98.0,23.7,0.36339939024390244,0.6564268292682927,1284.375,53.0,170.84
2,sweep,a100,wavefront,176,16,1331,5451776,3,6,48,50,3,13.8017578125,34.50439453125,False,113673700.0,40063790.0,40002810.0,40123770.0,2.837317687617672,2889.5915400000004,1982.963,2591.76,1.4572090049083117,1.3070137970300002,94334716.94065104,137465399.00139338,5.048408185943142,48.0,1.0,67.09803921568627,99.0,27.901960784313726,0.37322058823529414,0.6787303921568628,1226.1764705882354,55.0,183.6443137254902
2,sweep,a100,wavefront,176,16,1331,5451776,4,10,80,50,3,19.7001953125,49.25048828125,False,113673700.0,28633330.0,28623460.0,28705340.0,3.9699783434200633,4730.61763,1964.0059999999999,4281.23,2.408657422635165,2.1798456827524966,57622243.29257405,138792244.0155478,5.093653926558489,80.0,1.0,77.03125,100.0,32.453125,0.385166015625,0.702517578125,1260.9375,59.0,194.55421875
2,sweep,a100,wavefront,176,16,1331,5451776,5,15,120,50,3,26.9931640625,67.48291015625,False,113673700.0,20878700.0,20845700.0,20903560.0,5.444481696657359,6920.309399999999,1955.409,6292.4,3.5390598079481066,3.2179457085448617,39389683.93522984,139402447.2629511,5.198438751509758,120.0,1.0,82.57831325301204,100.0,35.325301204819276,0.3883042168674699,0.7068328313253012,1276.987951807229,66.0,209.97036144578314
2,sweep,a100,wavefront,176,16,1331,5451776,6,21,168,50,3,35.8447265625,89.61181640625,False,113673700.0,15663260.0,15662290.0,15715220.0,7.257346171869713,9621.83359,1953.193,8773.45,4.926207287247087,4.4918500117499915,28330234.29996777,139560606.6579186,5.2197161207962655,168.0,1.0,88.1747572815534,100.0,38.61165048543689,0.39767427884615386,0.7253209134615385,1292.3300970873786,66.0,222.31533980582523
2,sweep,a100,wavefront,176,22,512,5451776,1,1,8,50,3,5.3447265625,13.36181640625,False,157321000.0,97344170.0,95927190.0,98253970.0,1.6161317108153472,871.27248,1403.885,771.927,0.6206152783169562,0.549850593175367,312862860.0779402,194167470.9823098,2.825021537010624,8.0,1.0,42.13333333333333,97.0,17.533333333333335,0.34870833333333334,0.6258791666666667,1138.0,61.0,151.888
2,sweep,a100,wavefront,176,22,512,5451776,2,3,24,50,3,7.5888671875,18.97216796875,False,157321000.0,70272660.0,69778610.0,70486550.0,2.238722712360682,1675.30473,1456.748,1507.69,1.1500305680872738,1.0349696721739106,162709980.5299302,187121451.3423049,4.339175294656063,24.0,1.0,51.2972972972973,98.0,22.54054054054054,0.3532927631578947,0.6421907894736842,1134.3243243243244,59.0,159.2927027027027
2,sweep,a100,wavefront,176,22,512,5451776,3,6,48,50,3,10.9716796875,27.42919921875,False,157321000.0,47222460.0,47173200.0,47294040.0,3.3314867543961073,3078.8422800000003,1488.417,2803.3,2.0685347453032317,1.883410361478,88536136.3817571,183140074.3205701,4.66744993400635,48.0,1.0,65.4,99.0,29.77777777777778,0.36874999999999997,0.6689402173913043,1229.0,62.0,180.97688888888888
2,sweep,a100,wavefront,176,22,512,5451776,4,10,80,50,3,15.3974609375,38.49365234375,False,157321000.0,33231070.0,33175450.0,33250780.0,4.734153910782891,4985.85172,1464.911,4566.62,3.4035185209203833,3.1173361385094385,54672464.26654662,186078744.71554926,4.775327047137709,80.0,1.0,72.49122807017544,99.0,34.12280701754386,0.39325,0.7169934210526316,1250.5263157894738,61.0,198.2880701754386
2,sweep,a100,wavefront,176,22,512,5451776,5,15,120,50,3,20.9638671875,52.40966796875,False,157321000.0,23977170.0,23939080.0,23991160.0,6.5612830872033685,7326.39702,1465.568,6728.97,4.999015412454421,4.591373447018494,37206392.07182905,185995327.4088954,4.8611683511741015,120.0,1.0,78.22077922077922,100.0,34.896103896103895,0.38886525974025976,0.7111525974025974,1203.3116883116884,64.0,204.9235064935065
2,sweep,a100,wavefront,176,22,512,5451776,6,21,168,50,3,27.6474609375,69.11865234375,False,157321000.0,17782030.0,17765440.0,17861750.0,8.847190112714914,10236.96606,1464.846,9425.52,6.988424762739565,6.434478436641122,26627889.39636281,186087001.63703215,4.858609222621139,168.0,1.0,85.41489361702128,100.0,38.5,0.36986315789473684,0.6659684210526317,1268.2978723404256,69.0,218.16563829787233
2,sweep,a100,wavefront,176,44,64,5451776,1,1,8,50,3,3.9873046875,9.96826171875,False,266123800.0,124932200.0,122132600.0,125653300.0,2.13014579107708,1108.77771,783.1959999999999,1013.91,1.4157091072988117,1.294580156180573,245846212.04190692,348046721.38264245,2.150792871162135,8.0,1.0,37.22222222222222,97.0,18.77777777777778,0.35879464285714285,0.6561383928571428,1156.111111111111,61.0,148.21
2,sweep,a100,wavefront,176,44,64,5451776,2,3,24,50,3,5.4423828125,13.60595703125,False,266123800.0,86440390.0,84607290.0,87219720.0,3.0786973543270686,1905.1379100000001,805.903,1746.9,2.363979176153954,2.167630595741671,143080875.4417154,338240210.0500929,3.7449946762837025,24.0,1.0,48.5,98.0,23.59375,0.3712109375,0.6811796875,1159.6875,59.0,159.12
2,sweep,a100,wavefront,176,44,64,5451776,3,6,48,50,3,7.5732421875,18.93310546875,False,266123800.0,56182080.0,55879810.0,56587200.0,4.736809317134574,3362.42097,816.563,3098.56,4.11777287239319,3.7946367885882655,81069206.51282994,333824579.3649724,4.222691314675203,48.0,1.0,58.348837209302324,98.0,28.53488372093023,0.3529346590909091,0.643528409090909,1124.6511627906978,61.0,173.9541860465116
