device,arch,kind,method,regs,shared_bytes,stack_bytes,spills,occ_bs128,occ_bs256,occ_bs512,kernel
b200,sm_100,hydro,CalculateFluxes,211,1040,0,no,0.125,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,198,1040,0,no,0.125,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,190,1040,0,no,0.125,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,189,1040,0,no,0.125,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,189,1040,0,no,0.125,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,189,1040,0,no,0.125,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,189,1040,0,no,0.125,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,178,1040,0,no,0.125,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,177,1040,0,no,0.125,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,142,1040,0,no,0.188,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,140,1040,0,no,0.188,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,134,1040,0,no,0.188,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,132,1040,0,no,0.188,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,132,1040,0,no,0.188,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,130,1040,0,no,0.188,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,130,1040,0,no,0.188,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,130,1040,0,no,0.188,0.125,0.0,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,126,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,126,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,126,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,124,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,122,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,sweep,FormalSolutionDiagonal,122,1040,0,no,0.25,0.25,0.25,FormalSolutionDiagonal
b200,sm_100,hydro,CalculateFluxes,120,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,120,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,120,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,120,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,118,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,116,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,114,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,112,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,111,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,111,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,111,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,110,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,108,1040,160,yes,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,108,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,107,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,106,1040,160,yes,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,106,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,105,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,104,1040,160,yes,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,104,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,104,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,104,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,100,1040,0,no,0.25,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,96,1040,0,no,0.312,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,96,1040,0,no,0.312,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,96,1040,0,no,0.312,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,96,1040,0,no,0.312,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,96,1040,0,no,0.312,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,96,1040,0,no,0.312,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,96,1040,0,no,0.312,0.25,0.25,CalculateFluxes
b200,sm_100,hydro,CalculateFluxes,96,1040,0,no,0.312,0.25,0.25,CalculateFluxes
