phase,suite,device,sweep,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,b200,diagonal,256,16,4096,16777216,1,1,8,50,3,19.314453125,10.438536768159771,False,220432300.0,178397700.0,178333700.0,178574300.0,1.23562299289733,488.15142000000003,3208.3659999999995,385.244,0.15214954278907086,0.12007482936797113,1718443838.5941803,261460444.35080042,17.419833663859787,8.0,1.0,13.0625,98.0,1.1704545454545454,0.0514715909090909,0.13013636363636363,605.6988636363636,35.0,211.7024999999999
2,sweep,b200,diagonal,256,16,4096,16777216,2,3,24,50,3,28.3623046875,15.328467153284672,False,220432300.0,135827400.0,135593500.0,135936700.0,1.6228853677534871,1320.57185,3202.849,1147.45,0.4123116169385444,0.35825916238948513,635225413.8992891,261910817.525272,17.54556555841213,24.0,1.0,14.936274509803921,99.0,1.4264705882352942,0.0588578431372549,0.14698039215686276,694.3970588235294,34.0,224.05558823529398
2,sweep,b200,diagonal,256,16,4096,16777216,3,6,48,50,3,41.9228515625,22.657293200542565,False,220432300.0,100270300.0,100243500.0,100307200.0,2.1983807767604167,2571.08181,3211.852,2283.71,0.8004982203414106,0.7110259127755576,326267642.1797718,261176666.91989544,17.63153745440533,48.0,1.0,17.049180327868854,100.0,1.651639344262295,0.06777459016393443,0.1691434426229508,652.6803278688525,37.0,231.68331967213123
2,sweep,b200,diagonal,256,16,4096,16777216,4,10,80,50,3,60.01953125,32.4376817560471,False,220432300.0,74567970.0,74512620.0,74587610.0,2.9561258003939224,4238.94181,3207.4519999999998,3804.77,1.3215916590489898,1.1862281960883594,197893917.30291292,261534950.48406026,17.638086927724935,80.0,1.0,18.43421052631579,100.0,1.9013157894736843,0.07325,0.1834407894736841,657.703947368421,40.0,239.50855263157897
2,sweep,b200,diagonal,256,16,4096,16777216,5,15,120,50,3,82.5927734375,44.63743791925941,False,220432300.0,56347190.0,56308310.0,56367410.0,3.9120371397402427,6321.37764,3209.7560000000003,5698.19,1.969426224298669,1.7752720144459575,132702212.67780484,261347217.67012817,17.665837046500734,120.0,1.0,19.58421052631579,100.0,2.0736842105263156,0.0773578947368421,0.19435,622.0947368421052,37.0,244.4974473684211
2,sweep,b200,diagonal,256,16,4096,16777216,6,21,168,50,3,109.7158203125,59.296145584284666,False,220432300.0,43811530.0,43807470.0,43821410.0,5.031376443598295,8791.10603,3205.833,7940.83,2.7422220776940036,2.476994278866054,95421531.3906298,261667030.06675643,17.747340567673657,168.0,1.0,20.637931034482758,100.0,2.2198275862068964,0.08132112068965515,0.20653879310344814,647.2349137931035,40.0,251.0034482758622
2,sweep,b200,diagonal,256,32,512,16777216,1,1,8,50,3,13.0654296875,7.061238923106966,False,464237500.0,346416500.0,346321700.0,346952500.0,1.340113707054947,512.08424,1604.144,423.86,0.3192258550354582,0.26422814909384695,1638130476.345064,522933601.97089535,15.832790072193648,8.0,1.0,9.790322580645162,99.0,1.8548387096774193,0.03571774193548386,0.1036532258064516,662.9274193548387,34.0,211.32798387096773
2,sweep,b200,diagonal,256,32,512,16777216,2,3,24,50,3,18.3232421875,9.902834734603184,False,464237500.0,252121500.0,251830600.0,252383300.0,1.8413245201222426,1262.6408900000001,1606.06,1102.96,0.7861729262916705,0.6867489383958258,664370056.9526145,522309751.81500065,18.253299485022122,24.0,1.0,11.42361111111111,99.0,1.625,0.04259722222222222,0.11639583333333332,602.0347222222222,37.0,220.04687500000003
2,sweep,b200,diagonal,256,32,512,16777216,3,6,48,50,3,26.2060546875,14.16311731082857,False,464237500.0,177888400.0,177880200.0,178035800.0,2.6097120441805086,2416.43142,1605.1989999999998,2145.81,1.5053780995378143,1.3367875260325979,347148606.4355181,522589909.41310084,18.76462426775903,48.0,1.0,13.529069767441861,99.0,1.8313953488372092,0.048767441860465104,0.13722674418604655,634.5116279069767,42.0,236.95517441860466
2,sweep,b200,diagonal,256,32,512,16777216,4,10,80,50,3,36.7109375,19.840503296018916,False,464237500.0,127277700.0,127271300.0,127345000.0,3.6474378465355675,3976.6797700000006,1605.325,3560.46,2.4771804899319454,2.2179060314889507,210945021.6052976,522548891.96891594,18.84836903096791,80.0,1.0,15.523584905660377,100.0,2.1179245283018866,0.054759433962264153,0.15424528301886786,611.4056603773585,41.0,246.942075471698
