phase,suite,device,sweep,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,b200,wavefront,256,16,4096,16777216,1,1,8,50,3,19.3115234375,10.436953412395564,False,220408300.0,174864200.0,174616700.0,175086700.0,1.2604541123912156,602.81898,3208.392,499.122,0.18788819446002858,0.1555676488409147,1391563351.2402015,261458325.54126802,13.445382892358982,8.0,1.0,13.916666666666666,98.0,2.1785714285714284,0.056255952380952386,0.13786309523809526,652.5952380952381,33.0,211.56238095238098
2,sweep,b200,wavefront,256,16,4096,16777216,2,3,24,50,3,28.361328125,15.327939368029936,False,220408300.0,131989800.0,131831100.0,132051700.0,1.669888885353262,1507.18546,3209.6639999999998,1333.78,0.4695773327052302,0.4155512851189408,556574371.4114653,261354708.77948597,15.094437763349278,24.0,1.0,15.615,99.0,3.185,0.06548499999999999,0.155285,673.07,36.0,225.50040000000013
2,sweep,b200,wavefront,256,16,4096,16777216,3,6,48,50,3,41.923828125,22.657820985797297,False,220408300.0,97682620.0,97663340.0,97714910.0,2.2563717066556976,2814.49592,3207.5339999999997,2529.24,0.8774640954702273,0.7885310023214096,298050103.4089259,261528264.3925209,15.91992788347488,48.0,1.0,17.683333333333334,99.0,4.270833333333333,0.07496721311475407,0.17313524590163926,664.025,41.0,237.17108333333354
2,sweep,b200,wavefront,256,16,4096,16777216,4,10,80,50,3,60.017578125,32.43662618553763,False,220408300.0,72763100.0,72719490.0,72826180.0,3.0291219038221295,4529.000410000001,3212.016,4094.91,1.4100180104955893,1.2748722297771866,185219855.16888037,261163331.68950588,16.38836116056275,80.0,1.0,18.63961038961039,100.0,5.191558441558442,0.08163961038961037,0.18476623376623363,607.3376623376623,38.0,244.40529220779246
2,sweep,b200,wavefront,256,16,4096,16777216,5,15,120,50,3,82.59375,44.637965704514144,False,220408300.0,55013250.0,54981260.0,55014610.0,4.006458444102103,6694.714800000001,3207.2860000000005,6071.56,2.087345749646274,1.8930522566431554,125301947.14194545,261548486.78914195,16.579478091297787,120.0,1.0,19.721354166666668,100.0,5.96875,0.0874921875,0.1965885416666666,649.4322916666666,42.0,253.9283593750002
2,sweep,b200,wavefront,256,16,4096,16777216,6,21,168,50,3,109.7177734375,59.29720115479414,False,220408300.0,43035650.0,43035420.0,43037920.0,5.121528314316154,9149.821549999999,3203.7059999999997,8300.07,2.8560116159223097,2.590771437828565,91680563.97777508,261840755.67483413,16.979207934390914,168.0,1.0,20.732905982905983,100.0,6.726495726495727,0.09358974358974356,0.20781837606837594,640.4145299145299,39.0,260.31350427350367
2,sweep,b200,wavefront,256,32,512,16777216,1,1,8,50,3,13.0634765625,7.0601833525974955,False,464404900.0,328594100.0,328082900.0,328759600.0,1.413308699091067,666.8787900000001,1602.2359999999999,578.44,0.4162175796823939,0.36102047388774194,1257890957.9655397,523556330.0287849,11.601698361109188,8.0,1.0,10.161290322580646,97.0,2.7338709677419355,0.039064516129032265,0.09750000000000002,687.9758064516129,36.0,207.52766129032247
2,sweep,b200,wavefront,256,32,512,16777216,2,3,24,50,3,18.3203125,9.901251378838978,False,464404900.0,233378300.0,232354800.0,233596800.0,1.989923227652271,1547.3375400000002,1607.563,1387.92,0.9625361743210065,0.8633689628338049,542131744.5707418,521821415.39709485,14.505633754106865,24.0,1.0,12.194444444444445,98.0,3.9583333333333335,0.04811486486486486,0.11713513513513513,710.4375,36.0,226.45437499999989
2,sweep,b200,wavefront,256,32,512,16777216,3,6,48,50,3,26.2021484375,14.161006169809628,False,464404900.0,161958200.0,161856100.0,162393000.0,2.8674367830711875,2890.84966,1605.677,2621.54,1.8003930180229275,1.632669584231449,290177940.2807132,522434337.66567004,15.35941408485089,48.0,1.0,14.477272727272727,98.0,5.340909090909091,0.06038068181818181,0.1433693181818182,669.0511363636364,38.0,241.34107954545468
2,sweep,b200,wavefront,256,32,512,16777216,4,10,80,50,3,36.7041015625,19.83680879923577,False,464404900.0,115378700.0,115267000.0,115409000.0,4.025048817502711,4667.75377,1603.6689999999999,4251.39,2.9106715725003105,2.6510395848519868,179714021.20467892,523088492.70017695,15.785158265884801,80.0,1.0,16.286363636363635,99.0,6.386363636363637,0.06974545454545455,0.16220454545454546,674.15,43.0,256.0525909090909
