phase,suite,device,sweep,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,b200,tiled,0,256,64,64,16777216,3,6,48,50,3,19.5859375,10.585261068976255,False,851086900.0,202560800.0,202282400.0,202589800.0,4.201636743140825,2926.5524200000004,853.045,2662.11,3.4307128228874215,3.1207146164622035,286637886.3632314,983372272.2716856,15.125339824424985,48.0,1.0,13.121794871794872,100.0,5.7756410256410255,0.040368749999999995,0.12367499999999998,730.9935897435897,39.0,234.4237179487178
2,sweep,b200,tiled,0,256,64,64,16777216,6,21,168,50,3,46.984375,25.392804175836936,False,851086900.0,73271610.0,73214340.0,73281710.0,11.615507015609456,9674.135279999999,852.073,8863.97,11.35364608431437,10.402829335045237,86711708.66653419,984494051.5660044,15.899040091516556,168.0,1.0,18.346153846153847,100.0,7.4743589743589745,0.058,0.18697402597402593,588.4583333333334,40.0,255.05785256410223
2,sweep,b200,tiled,8,256,64,64,16777216,3,6,48,50,3,19.5810546875,10.582622142702578,False,851086900.0,138641400.0,138629900.0,138694300.0,6.138764467179357,4832.920070000001,852.6080000000001,4568.51,5.668396343923586,5.358277191863084,173572247.8025588,983876294.850623,8.813665374487524,48.0,1.0,15.346938775510203,100.0,1.5714285714285714,0.045974489795918366,0.15215816326530604,554.4591836734694,35.0,205.41954081632647
2,sweep,b200,tiled,8,256,64,64,16777216,6,21,168,50,3,46.984375,25.392804175836936,False,851086900.0,45779190.0,45769060.0,45787800.0,18.591130598859436,16552.375229999998,852.4269999999999,15742.5,19.41793869738992,18.467857071631943,50679179.775940835,984085206.1232224,8.952111443544545,168.0,1.0,20.533482142857142,100.0,1.6272321428571428,0.05935491071428574,0.20364508928571426,613.7232142857143,35.0,217.8544419642857
2,sweep,b200,tiled,16,256,64,64,16777216,3,6,48,50,3,19.58203125,10.583149927957313,False,851086900.0,239020300.0,239013100.0,239030000.0,3.560730615767782,2294.4135899999997,851.75,2030.1,2.6937641209275016,2.3834458467860284,365610107.8097259,984867390.6662753,19.834155164770205,48.0,1.0,12.368055555555555,99.0,2.0277777777777777,0.04066666666666666,0.11877083333333334,755.7777777777778,35.0,216.42076388888893
2,sweep,b200,tiled,16,256,64,64,16777216,6,21,168,50,3,46.984375,25.392804175836936,False,851086900.0,89125270.0,89112310.0,89151480.0,9.54933320258104,7630.374690000001,851.894,6820.18,8.956953200750329,8.00590214275485,109937039.01583894,984700913.4939322,20.66347433645446,168.0,1.0,17.916666666666668,100.0,2.6136363636363638,0.058647727272727254,0.1767007575757575,602.4734848484849,39.0,230.08371212121173
2,sweep,b200,tiled,32,256,64,64,16777216,3,6,48,50,3,19.5830078125,10.583677713212047,False,851086900.0,259446200.0,259282500.0,259553400.0,3.280398402443358,2015.49001,851.3530000000001,1751.15,2.367396379645106,2.0569023659985928,416206875.66692525,985326650.6372796,22.9936432629986,48.0,1.0,11.607142857142858,100.0,2.7,0.03788194444444445,0.10859027777777779,757.4142857142857,40.0,227.17928571428575
2,sweep,b200,tiled,32,256,64,64,16777216,6,21,168,50,3,46.984375,25.392804175836936,False,851086900.0,103434000.0,103421500.0,103508900.0,8.22830887329118,6335.029449999999,851.712,5524.98,7.43799482688984,6.486911068530207,132416243.14785151,984911331.5299067,25.507533855326177,168.0,1.0,16.7875,100.0,2.8291666666666666,0.058305084745762716,0.1687033898305084,691.8333333333334,42.0,260.1803333333331
2,sweep,b200,tiled,64,256,64,64,16777216,3,6,48,50,3,19.5859375,10.585261068976255,False,851086900.0,202485500.0,202280600.0,202559600.0,4.203199241427164,2930.92329,853.0980000000001,2666.5,3.43562321093239,3.1256666877662354,286210424.83851564,983311178.7860246,15.100438177386085,48.0,1.0,13.0875,100.0,5.775,0.0415576923076923,0.12729487179487178,576.56875,38.0,228.36575
2,sweep,b200,tiled,64,256,64,64,16777216,6,21,168,50,3,46.984375,25.392804175836936,False,851086900.0,73260690.0,73256980.0,73273260.0,11.617238385278654,9675.38364,852.354,8865.34,11.351367671178876,10.401007093296917,86700520.74544923,984169488.2642658,15.896583142891306,168.0,1.0,18.9375,100.0,7.618421052631579,0.0580551948051948,0.18410064935064935,684.9769736842105,43.0,261.32450657894714
