phase,suite,device,sweep,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,gh200,wavefront,224,16,2744,11239424,1,1,8,50,3,12.947265625,13.546402918126923,False,191042700.0,141571200.0,141535000.0,141638700.0,1.3494460737777174,704.36169,2427.447,602.17,0.2901656308047096,0.24806720805850754,797844641.4369868,231507093.66672063,7.465947489911486,8.0,1.0,76.08,98.0,19.48,0.32427999999999996,0.78016,1980.0,36.0,309.9784
2,sweep,gh200,wavefront,224,16,2744,11239424,2,3,24,50,3,19.087890625,19.971186561902915,False,191042700.0,105142700.0,105139900.0,105225200.0,1.8169849166894134,1534.06971,2427.892,1376.02,0.6318525329792265,0.5667550286421308,366327029.55851984,231464661.52530673,9.80168078952341,24.0,1.0,81.5,99.0,23.625,0.34915151515151516,0.7942727272727272,1980.0,40.0,358.79406250000005
2,sweep,gh200,wavefront,224,16,2744,11239424,3,6,48,50,3,28.1884765625,29.49290392455375,False,191042700.0,75548140.0,75451260.0,75603700.0,2.5287545133473834,2820.15409,2427.246,2570.62,1.1618740292496104,1.0590685904930937,199269678.91318306,231526264.74613613,10.493428667014182,48.0,1.0,86.13953488372093,99.0,27.53488372093023,0.39509302325581397,0.8542093023255809,1980.0,44.0,394.7990697674419
2,sweep,gh200,wavefront,224,16,2744,11239424,4,10,80,50,3,40.1943359375,42.05433683113486,False,191042700.0,55019060.0,55006410.0,55019380.0,3.472300326468682,4488.4771900000005,2428.0090000000005,4113.92,1.848624609711084,1.6943594525390966,125203086.97391419,231453507.79177505,10.928189172370876,80.0,1.0,89.10526315789474,100.0,30.017543859649123,0.4240344827586208,0.8855172413793098,1980.0,46.0,429.4012280701753
2,sweep,gh200,wavefront,224,16,2744,11239424,5,15,120,50,3,55.42578125,57.99062030632159,False,191042700.0,41157970.0,41132600.0,41168530.0,4.641693941659416,6508.73172,2427.342,5977.38,2.6814234335334697,2.462520732554374,86341122.0765449,231517108.0136215,11.28195697780633,120.0,1.0,91.89189189189189,100.0,32.229729729729726,0.4444533333333335,0.9048133333333334,1980.0,36.0,438.4345945945945
2,sweep,gh200,wavefront,224,16,2744,11239424,6,21,168,50,3,73.560546875,76.96457581919057,False,191042700.0,31495340.0,31494850.0,31508870.0,6.065744964175653,8892.55031,2427.895,8173.1,3.662658521064544,3.366331740046419,63195729.055144355,231464375.51871067,11.551450685786298,168.0,1.0,93.16666666666667,100.0,33.927083333333336,0.45868041237113416,0.9156907216494844,1980.0,39.0,449.76260416666673
2,sweep,gh200,wavefront,224,28,512,11239424,1,1,8,50,3,9.4140625,9.849700115458104,False,331851700.0,210635600.0,210558300.0,210759200.0,1.5754777445028285,826.1920799999999,1429.842,732.591,0.5778205424095808,0.5123580087869848,680194368.3604424,393030278.869973,6.136807031481413,8.0,1.0,71.5,98.0,24.88888888888889,0.30727777777777776,0.7223333333333333,1980.0,34.0,318.95944444444444
2,sweep,gh200,wavefront,224,28,512,11239424,2,3,24,50,3,13.2841796875,13.898907745910433,False,331851700.0,149853500.0,149777300.0,150005300.0,2.214507502327273,1656.8805100000002,1430.483,1512.7,1.1582664806222795,1.0574749927122518,339174247.39337415,392854161.8460338,8.916049976862562,24.0,1.0,77.75,99.0,28.0,0.32611999999999997,0.72988,1980.0,37.0,370.63291666666663
2,sweep,gh200,wavefront,224,28,512,11239424,3,6,48,50,3,19.064453125,19.946664486926668,False,331851700.0,101703700.0,101684500.0,101732900.0,3.2629265208640392,3060.96336,1431.5570000000002,2831.4,2.1382057158743937,1.9778464986025701,183592919.58333012,392559430.0471444,9.526954015681287,48.0,1.0,83.45454545454545,99.0,31.21212121212121,0.373764705882353,0.7987058823529413,1980.0,40.0,417.87969696969685
2,sweep,gh200,wavefront,224,28,512,11239424,4,10,80,50,3,26.76953125,28.008296635366964,False,331851700.0,71796020.0,71519680.0,71858550.0,4.622146185819214,4867.056,1433.448,4520.23,3.3953488372093017,3.153396565484063,115464297.10280712,392041566.9072055,9.94588682434301,80.0,1.0,87.02222222222223,100.0,33.86666666666667,0.40723913043478255,0.8410434782608693,1980.0,43.0,446.1717777777778
