phase,suite,device,sweep,tile_size,N,B,nmb,zones,nmu,rays_per_octant,rays_total,nlim,n_repeat,peak_mem_gib,pct_fill,oom,zcps_off_med,zcps_on_med,zcps_on_min,zcps_on_max,slowdown_med,t_rad_ms,t_hydro_ms,t_sweep_ms,rad_over_hydro,sweep_over_hydro,rad_cells_per_s,hydro_cells_per_s,gcaups,nang,niter,sm_util_mean,sm_util_peak,mem_util_mean,dcgm_sm_occ_mean,dcgm_sm_active_mean,sm_clock_mhz,gpu_temp_c,power_w
2,sweep,gh200,tiled,0,224,56,64,11239424,3,6,48,50,3,13.8017578125,14.440436901635827,False,608829800.0,105324700.0,104992600.0,105632200.0,5.780503528611997,3976.0959900000003,751.869,3753.58,5.288282918965937,4.9923324408906335,141337432.85206753,747432331.9620838,7.186370771370265,48.0,1.0,81.3125,100.0,38.96875,0.2873030303030304,0.781030303030303,1980.0,43.0,416.8496874999999
2,sweep,gh200,tiled,0,224,56,64,11239424,6,21,168,50,3,33.3037109375,34.84484678811906,False,608829800.0,41928640.0,41912730.0,42032580.0,14.520618841918077,10995.94237,751.758,10327.5,14.626970873605602,13.737798600081408,51107143.07972496,747542693.260331,9.141724676833697,168.0,1.0,92.27397260273973,100.0,39.83561643835616,0.34032432432432447,0.8987297297297293,1980.0,48.0,474.8790410958906
2,sweep,gh200,tiled,8,224,56,64,11239424,3,6,48,50,3,13.802734375,14.441458654759836,False,608829800.0,89404110.0,89391020.0,89413780.0,6.809863662867401,4940.891610000001,752.0719999999999,4718.64,6.5697055734025485,6.274186514057166,113738823.75047688,747230584.3057581,5.716608514317684,48.0,1.0,86.02702702702703,100.0,12.81081081081081,0.2981052631578947,0.8258947368421052,1980.0,45.0,309.27162162162165
2,sweep,gh200,tiled,8,224,56,64,11239424,6,21,168,50,3,33.30078125,34.84178152874703,False,608829800.0,29938490.0,29932650.0,29940000.0,20.33602229103739,16376.35626,751.426,15708.0,21.793704583019483,20.90425404497582,34316009.68358513,747872977.5120903,6.010387165775401,168.0,1.0,94.26,100.0,11.8,0.3339702970297027,0.927237623762376,1980.0,43.0,318.45169999999996
2,sweep,gh200,tiled,14,224,56,64,11239424,3,6,48,50,3,13.7978515625,14.436349889139786,False,608829800.0,143856100.0,143632000.0,143901800.0,4.232213997181906,2570.9784100000006,751.59,2348.84,3.420719288441837,3.125161324658391,218582621.23640308,747709788.5815405,11.484229492004564,48.0,1.0,77.16,100.0,17.32,0.29038461538461546,0.741576923076923,1980.0,45.0,373.9556
2,sweep,gh200,tiled,14,224,56,64,11239424,6,21,168,50,3,33.2978515625,34.83871626937499,False,608829800.0,53062640.0,52999410.0,53064640.0,11.473793991403367,8191.027929999999,751.697,7522.63,10.896714939663187,10.007529629624702,68608141.10299341,747603356.1395084,12.550286482254212,168.0,1.0,90.94915254237289,100.0,18.440677966101696,0.35131666666666667,0.880533333333333,1980.0,47.0,394.5459322033898
2,sweep,gh200,tiled,28,224,56,64,11239424,3,6,48,50,3,13.7978515625,14.436349889139786,False,608829800.0,137181900.0,137016900.0,137337600.0,4.438120480908925,2749.42886,751.998,2527.08,3.6561651227795817,3.360487660871438,204395614.00399354,747304115.170519,10.674223847286198,48.0,1.0,82.64,100.0,33.4,0.3103461538461539,0.8015769230769231,1980.0,49.0,429.5727999999999
2,sweep,gh200,tiled,28,224,56,64,11239424,6,21,168,50,3,33.30078125,34.84178152874703,False,608829800.0,54555400.0,54546010.0,54561280.0,11.15984485495478,7897.98648,752.432,7229.36,10.496611627363004,9.607991154017904,71153730.31127296,746873072.9155592,13.05940796972346,168.0,1.0,92.66666666666667,100.0,33.92982456140351,0.35841379310344845,0.895896551724138,1980.0,53.0,485.45964912280704
2,sweep,gh200,wavefront,0,224,56,64,11239424,3,6,48,50,3,13.8017578125,14.440436901635827,False,608829800.0,120247000.0,120166800.0,120304000.0,5.0631599956755675,3336.94201,751.198,3114.8,4.442160402450487,4.146443414386088,168409039.86821157,748099968.3172745,8.660144343135995,48.0,1.0,79.17241379310344,99.0,32.93103448275862,0.36503333333333327,0.7653000000000001,1980.0,51.0,461.6803448275863
2,sweep,gh200,wavefront,0,224,56,64,11239424,6,21,168,50,3,33.3037109375,34.84484678811906,False,608829800.0,43319460.0,43276420.0,43319700.0,14.054418037528631,10576.473769999999,751.518,9907.96,14.073480302534335,13.183929060914041,53134079.67729495,747781423.7317003,9.528819413885403,168.0,1.0,92.5,100.0,38.24285714285714,0.4579571428571427,0.9181142857142858,1980.0,56.0,531.8730000000002
