nx1,B,nblk_side,nmb,nmu,nang,chi,tau_dom,tau_blk,niter,converged,res,jbar,tol
64,64,1,1,3,48,0.1,0.1,0.1,2,1,0.000000e+00,4.3844873677e-02,1e-06
64,32,2,8,3,48,0.1,0.1,0.05,5,1,0.000000e+00,4.3844873677e-02,1e-06
64,16,4,64,3,48,0.1,0.1,0.025,11,1,0.000000e+00,4.3844873677e-02,1e-06
64,8,8,512,3,48,0.1,0.1,0.0125,22,1,9.696276e-12,4.3844873677e-02,1e-06
64,64,1,1,3,48,1,1,1,2,1,0.000000e+00,3.3459933277e-01,1e-06
64,32,2,8,3,48,1,1,0.5,5,1,0.000000e+00,3.3459933277e-01,1e-06
64,16,4,64,3,48,1,1,0.25,11,1,0.000000e+00,3.3459933277e-01,1e-06
64,8,8,512,3,48,1,1,0.125,21,1,4.872392e-08,3.3459933277e-01,1e-06
64,64,1,1,3,48,10,10,10,2,1,0.000000e+00,8.7348104852e-01,1e-06
64,32,2,8,3,48,10,10,5,5,1,0.000000e+00,8.7348104852e-01,1e-06
64,16,4,64,3,48,10,10,2.5,9,1,3.568896e-07,8.7348104852e-01,1e-06
64,8,8,512,3,48,10,10,1.25,15,1,5.937909e-07,8.7348108078e-01,1e-06
64,64,1,1,3,48,100,100,100,2,1,0.000000e+00,9.9509978671e-01,1e-06
64,32,2,8,3,48,100,100,50,4,1,0.000000e+00,9.9509978671e-01,1e-06
64,16,4,64,3,48,100,100,25,4,1,1.243450e-14,9.9509978671e-01,1e-06
64,8,8,512,3,48,100,100,12.5,4,1,6.446976e-09,9.9509978671e-01,1e-06
